[the, 72300]
[of, 39713]
[and, 36892]
[to, 28257]
[in, 19966]
[is, 9638]
[that, 11976]
[for, 6632]
[was, 11366]
[as, 7474]
[with, 9490]
[be, 6117]
[by, 6507]
[not, 6461]
[it, 8533]
[on, 6048]
[are, 3568]
[or, 5287]
[his, 9618]
[from, 5419]
[at, 6297]
[which, 4821]
[he, 10026]
[this, 3238]
[have, 3411]
[had, 7332]
[an, 3262]
[were, 4275]
[but, 4322]
[their, 2884]
[you, 4660]
[they, 3055]
[one, 3091]
[all, 3748]
[can, 1036]
[has, 1582]
[been, 2597]
[her, 5181]
[we, 1422]
[more, 1958]
[would, 1932]
[will, 1537]
[who, 2938]
[its, 1579]
[other, 1455]
[so, 2744]
[them, 2241]
[no, 1849]
[may, 2486]
[than, 1206]
[there, 2264]
[him, 5208]
[when, 1984]
[into, 2112]
[time, 1514]
[only, 1714]
[if, 1661]
[about, 1456]
[out, 1971]
[these, 995]
[some, 1397]
[such, 1346]
[she, 3087]
[do, 1333]
[also, 773]
[up, 2281]
[two, 1038]
[any, 1147]
[my, 2019]
[what, 2092]
[could, 1689]
[first, 1129]
[me, 1917]
[our, 982]
[should, 1279]
[most, 871]
[said, 3464]
[made, 1003]
[very, 1262]
[between, 617]
[then, 1185]
[over, 1274]
[your, 1127]
[like, 1039]
[did, 1832]
[must, 948]
[those, 1126]
[many, 547]
[after, 1201]
[see, 975]
[through, 789]
[same, 1050]
[well, 707]
[where, 843]
[people, 861]
[being, 912]
[work, 378]
[much, 662]
[new, 723]
[even, 827]
[man, 1635]
[now, 1448]
[before, 1267]
[way, 857]
[years, 563]
[life, 849]
[because, 599]
[each, 374]
[under, 899]
[own, 779]
[used, 276]
[upon, 1104]
[us, 679]
[use, 308]
[both, 475]
[make, 496]
[great, 646]
[good, 672]
[how, 943]
[part, 687]
[long, 974]
[three, 528]
[without, 970]
[day, 811]
[found, 548]
[men, 1103]
[little, 978]
[down, 1123]
[might, 531]
[just, 652]
[does, 344]
[against, 648]
[know, 1044]
[back, 740]
[world, 278]
[number, 291]
[system, 213]
[case, 435]
[place, 667]
[while, 610]
[still, 844]
[right, 697]
[too, 540]
[de, 218]
[another, 774]
[different, 272]
[state, 506]
[during, 399]
[take, 587]
[given, 364]
[every, 575]
[never, 560]
[year, 303]
[power, 525]
[however, 385]
[here, 567]
[high, 281]
[shall, 720]
[order, 378]
[form, 505]
[old, 1104]
[small, 499]
[large, 474]
[less, 359]
[called, 449]
[within, 277]
[water, 183]
[come, 825]
[point, 220]
[important, 284]
[few, 452]
[often, 432]
[himself, 1155]
[get, 441]
[go, 805]
[present, 328]
[children, 225]
[say, 745]
[general, 640]
[end, 440]
[fact, 291]
[off, 631]
[again, 809]
[last, 553]
[left, 822]
[came, 978]
[example, 286]
[social, 69]
[hand, 820]
[per, 86]
[set, 321]
[public, 268]
[thought, 900]
[always, 598]
[among, 400]
[though, 500]
[since, 224]
[far, 367]
[think, 545]
[country, 418]
[possible, 339]
[need, 160]
[government, 651]
[law, 427]
[following, 194]
[women, 348]
[find, 293]
[give, 464]
[others, 383]
[course, 386]
[whole, 739]
[second, 262]
[means, 248]
[until, 317]
[things, 316]
[rather, 217]
[information, 61]
[process, 213]
[become, 409]
[above, 283]
[family, 207]
[political, 233]
[certain, 350]
[group, 138]
[later, 318]
[human, 165]
[et, 17]
[away, 833]
[taken, 436]
[known, 410]
[body, 333]
[value, 104]
[several, 316]
[four, 266]
[development, 87]
[side, 510]
[change, 148]
[home, 286]
[name, 253]
[period, 191]
[early, 234]
[having, 525]
[seen, 444]
[best, 268]
[days, 452]
[person, 185]
[put, 428]
[either, 281]
[took, 573]
[control, 112]
[yet, 431]
[itself, 273]
[nature, 161]
[whether, 327]
[line, 246]
[war, 600]
[went, 1007]
[around, 258]
[data, 16]
[words, 459]
[once, 535]
[better, 261]
[least, 194]
[themselves, 303]
[school, 31]
[study, 138]
[effect, 183]
[something, 665]
[head, 717]
[question, 337]
[common, 278]
[almost, 315]
[interest, 217]
[house, 550]
[mind, 329]
[necessary, 326]
[level, 53]
[times, 230]
[light, 275]
[therefore, 180]
[want, 320]
